代码	简称	最新价	涨跌	涨跌幅	成交金额(万元)	成交量(手)	开盘	最高	最低	
112329	16太安02	60.00	-3.99	-6.24%	208.81	34800	61.00	61.00	60.00	
112320	16蓝标债	97.80	0.80	0.82%	35.88	3680	97.50	97.80	97.30	
112318	16白药01	99.90	0.05	0.05%	1020.98	102200	99.90	99.90	99.90	
112315	16宝龙债	100.00	0.00	0.00%	4005.92	400200	100.17	100.17	100.00	
112314	16华南01	98.50	0.10	0.10%	98.46	10010	98.30	98.50	98.30	
112311	16昆仑01	99.00	0.20	0.20%	20.30	2050	99.00	99.00	99.00	
112310	16美的债	99.93	-0.01	-0.01%	399.72	40000	99.93	99.93	99.93	
112277	15金街03	100.70	0.09	0.09%	20.14	2000	100.70	100.70	100.70	
112242	15岭南债	102.21	-0.01	-0.01%	511.05	50000	102.21	102.21	102.21	
112240	15华联债	82.49	-0.40	-0.48%	82.26	10910	75.01	82.49	75.00	
112231	14金贵债	89.40	-0.30	-0.33%	89.70	10000	90.00	90.00	89.40	
112230	14司尔01	93.00	-0.80	-0.85%	23.25	2500	93.00	93.00	93.00	
112229	14白药01	102.80	0.00	0.00%	215.23	20930	103.56	103.56	102.80	
112228	14怡亚债	97.80	0.00	0.00%	33.77	3450	97.70	98.00	97.70	
112217	14东江01	101.20	0.00	0.00%	253.81	25080	101.20	101.20	101.20	
112208	14华邦01	97.50	0.50	0.52%	48.65	4990	97.50	97.50	97.50	
112196	13苏宁债	101.79	0.00	0.00%	982.64	96540	101.78	101.79	101.65	
112139	12北新债	100.00	-0.04	-0.04%	428.70	42870	100.00	100.00	100.00	
112110	12东锆债	90.00	-2.00	-2.17%	5.40	600	90.00	90.00	90.00	
112109	12南糖债	95.80	0.30	0.31%	9.58	1000	95.80	95.80	95.80	
112070	12中泰债	100.45	0.45	0.45%	401.80	40000	100.45	100.45	100.45	
112027	11新兴02	101.00	0.00	0.00%	0.30	30	101.00	101.00	101.00	
111062	10并高铁	100.50	0.50	0.50%	4.57	455	100.50	100.50	100.50	
111023	03中铁债	101.19	0.01	0.01%	2.22	220	100.25	101.20	100.25	
101917	国债917	103.99	1.38	1.34%	0.10	10	103.99	103.99	103.99	
101613	国债1613	97.00	0.65	0.67%	27.99	2890	96.50	97.00	96.50	
101528	国债1528	100.20	-0.30	-0.30%	3.50	350	99.65	100.20	99.65	
101311	国债1311	101.90	0.93	0.92%	0.41	40	100.97	101.98	100.97	
101308	国债1308	101.49	0.34	0.34%	0.91	90	101.11	101.49	101.03	
100303	国债0303	100.48	0.12	0.12%	35.77	3560	100.36	100.54	100.32	
